T9,PT_median,PT_p16,PT_p84,LU_median,LU_p16,LU_p84,Fixed01
1.3664483492953259,0.25845500643885744,0.023616859797651896,1.1295229950029952,0.005446688974996333,5.1288786554782577e-05,0.6061370438159416,0.5700525825024305
1.536174946671828,0.23593385838685418,0.02155894339914658,1.0310990760814538,0.004972077589094915,4.681960496947207e-05,0.5533197186974522,0.5203795706120566
1.726983290659436,0.2133749006794617,0.01949757206532146,0.9325099180500813,0.004496669401320727,4.234292029350106e-05,0.5004137211517534,0.4706231651283639
1.9414919457438817,0.1913779308593589,0.01748755353493,0.8363768093340355,0.004033104564046721,3.7977758614103894e-05,0.44882571578332264,0.42210628930555383
2.182644728397487,0.1703860721428026,0.0155693791066923,0.7446363263195824,0.0035907214699386326,3.3812054974092154e-05,0.3995949294968693,0.3758063029451427
2.453751106639819,0.15070383121517858,0.013770873707644177,0.6586192511340038,0.003175937302509195,2.990623682893068e-05,0.35343550122374945,0.33239483096469413
2.7585316176291843,0.13251882346398103,0.012109181081152741,0.5791455171858684,0.002792705874364651,2.6297535283933202e-05,0.31078743264130365,0.29228568092642915
3.1011689265747786,0.11592423058479946,0.01059281589702752,0.5066223553867845,0.0024429908995031624,2.3004441666320475e-05,0.2718692564770677,0.2556843758996999
3.4863652276780877,0.10094006310499665,0.00922360665851832,0.4411372175184365,0.0021272140804108695,2.0030926940636376e-05,0.23672790206728464,0.22263505143040876
3.919406774847221,0.08753211063655347,0.007998427320792032,0.382540594308522,0.0018446544662893269,1.7370202268416356e-05,0.20528313810304155,0.1930622525281208
4.406236427773573,0.075628064194394,0.006910670501054335,0.3305164746164022,0.0015937882153014863,1.5007918381860757e-05,0.17736538321286813,0.16680649331462216
4.953535208959175,0.06513070845716565,0.005951452948614129,0.2846399994213626,0.00137256660869236,1.2924783505834685e-05,0.15274664487957465,0.14365335408971272
5.568813990945273,0.05592834219021374,0.005110567732545938,0.2444230020794248,0.0011786356511121572,1.1098631225916347e-05,0.13116495775338105,0.1233564647862734
6.260516572014821,0.04790272968469264,0.004377210820854567,0.20934875840787023,0.001009503639495444,9.505998401972797e-06,0.11234303162420146,0.10565504279420836
7.038135554931562,0.0409349490352485,0.003740515478922226,0.17889754534713226,0.0008626644098498836,8.123285722447177e-06,0.09600196699169597,0.09028679201719837
7.912342618981326,0.03490951232883936,0.003189928760268144,0.15256464737545264,0.0007356841662456617,6.927575330172461e-06,0.08187091786540672,0.07699699042844083
8.895134973108236,0.029717109671636703,0.0027154622476718,0.1298723486986517,0.0006262593085251442,5.897175357422254e-06,0.06969352714543466,0.0655445423411909
10.0,0.025256288730505397,0.0023078455247430825,0.11037727333128522,0.0005322518270131135,5.011953220458493e-06,0.059231865537462555,0.05570568283287491
